Compound_cat1	Compound_cat2	Compound	Transporter	TransportCluster	Family	Desc	Comment	
Nucleosides	Nucleosides			T74.2	PF01733	Nucleoside transporter		
Nucleosides	Purines			T74.1	PF06516	Purine nucleoside permease (NUP)		
Nucleosides	Purines			T74.1	COG5042	Purine nucleoside permease		
Nucleotides and Coenzymes	Acetyl-coA			T84	PF13000	Acetyl-coenzyme A transporter 1		
Nucleotides and Coenzymes	Acetyl-coA			T84	TIGR00901	2A0125: AmpG-like permease		
Nucleotides and Coenzymes	coenzyme F420		F420-0	T5.1	TIGR03873	F420-0_ABC_ATP: proposed F420-0 ABC transporter, ATP-binding protein		
Nucleotides and Coenzymes	coenzyme F420		F420-0	T5.1	TIGR03869	F420-0_ABCperm: proposed F420-0 ABC transporter, permease protein		
Nucleotides and Coenzymes	coenzyme F420		F420-0	T5.1	TIGR03868	F420-O_ABCperi: proposed F420-0 ABC transporter, periplasmic F420-0 binding protein	Proposed casette with TIGR3869 and TIGR03873	
Nucleotides and Coenzymes	Folate			T152	TIGR00788	fbt: folate/biopterin transporter		
Nucleotides and Coenzymes	Folate			T70	TIGR04520	ECF_ATPase_1: energy-coupling factor transporter ATPase		
Nucleotides and Coenzymes	Folate			T70	TIGR04521	ECF_ATPase_2: energy-coupling factor transporter ATPase		
Nucleotides and Coenzymes	Folate			T70	TIGR04518	ECF_S_folT_fam: ECF transporter S component, folate family		
Nucleotides and Coenzymes	Folate			T70	TIGR04522	EcfS_MSC_0063: putative energy coupling factor transporter S component		
Nucleotides and Coenzymes	Nicotinamide			T101	COG3201	Nicotinamide mononucleotide transporter		
Nucleotides and Coenzymes	Nicotinamide			T101	PF04973	Nicotinamide mononucleotide transporter		
Nucleotides and Coenzymes	Nicotinamide			T101	TIGR01528	NMN_trans_PnuC: nicotinamide mononucleotide transporter PnuC		
Nucleotides and Coenzymes	Nucleotide-sugars			T60.1	PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain		
Nucleotides and Coenzymes	Nucleotide-sugars			T60.1	PF02807	ATP:guanido phosphotransferase, N-terminal domain		
Nucleotides and Coenzymes	Nucleotide-sugars			T60.9	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase		
Nucleotides and Coenzymes	Nucleotide-sugars			T60.9	TIGR03022	WbaP_sugtrans: undecaprenyl-phosphate galactose phosphotransferase WbaP		
Nucleotides and Coenzymes	Nucleotide-sugars			T60.9	TIGR03023	WcaJ_sugtrans: undecaprenyl-phosphate glucose phosphotransferase		
Nucleotides and Coenzymes	Nucleotide-sugars			T60.9	TIGR00803	nst: UDP-galactose transporter		
Nucleotides and Coenzymes	Nucleotide-sugars			T60.9	PF04142	Nucleotide-sugar transporter		
Nucleotides and Coenzymes	Nucleotide-sugars			T26	TIGR00950	2A78: carboxylate/amino acid/amine transporter		
Nucleotides and Coenzymes	Nucleotide-sugars			T26	PF00892	EamA-like transporter family		
Nucleotides and Coenzymes	Nucleotide-sugars			T26	COG5070	Nucleotide-sugar transporter		
Nucleotides and Coenzymes	Nucleotide-sugars			T26	COG0697	Permeases of the drug/metabolite transporter (DMT) superfamily		
Nucleotides and Coenzymes	Nucleotide-sugars			T26	COG5006	Predicted permease, DMT superfamily		
Nucleotides and Coenzymes	Nucleotide-sugars			T26	COG2962	Predicted permeases		
Nucleotides and Coenzymes	Nucleotide-sugars			T26	PF03151	Triose-phosphate Transporter family		
Nucleotides and Coenzymes	Nucleotide-sugars			T26	PF08449	UAA transporter family		
Nucleotides and Coenzymes	Nucleotides			T30	COG1953	Cytosine/uracil/thiamine/allantoin permeases		
Nucleotides and Coenzymes	Nucleotides			T30	TIGR00800	ncs1: NCS1 nucleoside transporter family		
Nucleotides and Coenzymes	Nucleotides			T30	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin		
Nucleotides and Coenzymes	Nucleotides			T30.2	COG1457	Purine-cytosine permease and related proteins		
Nucleotides and Coenzymes	Nucleotides			T30.1	TIGR02358	thia_cytX: putative hydroxymethylpyrimidine transporter CytX		
Nucleotides and Coenzymes	Thiamine			T247	TIGR02359	thiW: energy coupling factor transporter S component ThiW		
Nucleotides and Coenzymes	Thiamine			T70.1	COG3840	ABC-type thiamine transport system, ATPase component		
Nucleotides and Coenzymes	Thiamine			T70.1	COG4143	ABC-type thiamine transport system, periplasmic component		
Nucleotides and Coenzymes	Thiamine			T70.1	TIGR01254	sfuA: ABC transporter periplasmic binding protein, thiB subfamily		
Nucleotides and Coenzymes	Thiamine			T70.1	TIGR01276	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein		
Nucleotides and Coenzymes	Thiamine			T70.1	TIGR01253	thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein		
Nucleotides and Coenzymes	Thiamine			T70.1	TIGR01277	thiQ: thiamine ABC transporter, ATP-binding protein		
Nucleotides and Coenzymes	Thiamine			T70.1	PF09515	Thiamine transporter protein (Thia_YuaJ)		
Nucleotides and Coenzymes	Thiamine			T70.1	PF09512	Thiamine-precursor transporter protein (ThiW)		
Nucleotides and Coenzymes	Thiamine			T70.2	TIGR02357	ECF_ThiT_YuaJ: energy-coupled thiamine transporter ThiT		
Nucleotides and Coenzymes	TonB|cobalamin			T13.2	TIGR01779	TonB-B12: TonB-dependent vitamin B12 receptor		
Nucleotides and Coenzymes	Xanthine|Uracil			T25.2	TIGR00801	ncs2: uracil-xanthine permease		
Nucleotides and Coenzymes	Xanthine|Uracil			T25.1	TIGR03173	pbuX: xanthine permease		
Nucleotides and Coenzymes	Xanthine|Uracil			T25.3	PF00860	Permease family		
Nucleotides and Coenzymes	Xanthine|Uracil			T25.4	COG2252	Permeases		
Nucleotides and Coenzymes	Xanthine|Uracil			T25.5	TIGR03616	RutG: pyrimidine utilization transport protein G		
Nucleotides and Coenzymes	Xanthine|Uracil			T25.1	COG2233	Xanthine/uracil permeases		
Permeases	Permeases			T105	COG0767	ABC-type transport system involved in resistance to organic solvents, permease component		
Permeases	Permeases			T105	PF02405	Permease		
Permeases	Permeases			T105	TIGR00056	TIGR00056: ABC transport permease subunit		
Permeases	Permeases			T155	TIGR02332	HpaX: 4-hydroxyphenylacetate permease		
Permeases	Permeases			T171	COG0628	Predicted permease		
Permeases	Permeases			T172	COG3329	Predicted permease		
Permeases	Permeases			T211	PF13906	C-terminus of AA_permease		
Permeases	Permeases			T234	COG2056	Predicted permease		
Permeases	Permeases			T235	COG3368	Predicted permease		
Permeases	Permeases			T236	PF09847	Predicted permease (DUF2074)		
Amino acids, general	Amino acids		slc17A	T89.1	PF07690	Major Facilitator Superfamily	Blueprint marker	
Amino acids, general	Amino acids		slc17A	T89.1	COG0477	Permeases of the major facilitator superfamily	Blueprint marker	
Permeases	Permeases			T89	COG2270	Permeases of the major facilitator superfamily		
Permeases	Permeases			T89	PF07672	Mycoplasma MFS transporter		
Permeases	Permeases			T97	PF03773	Predicted permease		
Permeases	Permeases			T97	COG0701	Predicted permeases		
Phosphate	Phosphate			T85.1	COG5065	Protein involved in inorganic phosphate transport		
Phosphate	Phosphate			T85.1	PF10032	Phosphate transport (Pho88)		
Phosphate	Phosphate		pitA	T85.2	COG0306	Phosphate/sulphate permeases	Blueprint Marker	
Phosphate	Polyphosphate			T85.12	TIGR03708	poly_P_AMP_trns: polyphosphate:AMP phosphotransferase		
Phosphate	Polyphosphate			T85.12	TIGR03709	PPK2_rel_1: polyphosphate:nucleotide phosphotransferase, PPK2 family		
Phosphate	Phosphate			T85.13	TIGR00887	2A0109: phosphate:H+ symporter		
Phosphate	Phosphate			T85.14	COG4985	ABC-type phosphate transport system, auxiliary component		
Phosphate	Phosphate			T85.15	PF11124	Inorganic phosphate transporter Pho86		
Phosphate	Polyphosphate		ppk	T85.16	COG0855	Polyphosphate kinase		
Phosphate	Polyphosphate		ppk	T85.16	PF13090	Polyphosphate kinase C-terminal domain		
Phosphate	Polyphosphate		ppk	T85.16	TIGR03705	poly_P_kin		
Phosphate	Phosphate		pitA	T85.2	PF01384	Phosphate transporter family	Blueprint Marker	
Phosphate	Phosphate			T85.3	TIGR00894	2A0114euk: Na(+)-dependent inorganic phosphate cotransporter		
Phosphate	Phosphate			T85.3	TIGR01013	2a58: sodium-dependent inorganic phosphate (Pi) transporter		
Phosphate	Phosphate			T85.3	COG1283	Na+/phosphate symporter		
Phosphate	Phosphate			T85.3	PF02690	Na+/Pi-cotransporter		
Phosphate	Phosphate			T85.3	TIGR00704	NaPi_cotrn_rel: Na/Pi-cotransporter II-related protein		
Phosphate	Phosphate			T85.4	TIGR01098	3A0109s03R: phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein		
Phosphate	Phosphate			T85.4	PF12974	ABC transporter, phosphonate, periplasmic substrate-binding protein		
Phosphate	Phosphate			T85.4	COG3638	ABC-type phosphate/phosphonate transport system, ATPase component		
Phosphate	Phosphate			T85.4	COG3221	ABC-type phosphate/phosphonate transport system, periplasmic component		
Phosphate	Phosphate		pstABCS	T85.5	TIGR04505	PtsS_plasma: phosphate ABC transporter substrate-binding protein	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	TIGR00972	3a0107s01c2: phosphate ABC transporter, ATP-binding protein	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	TIGR00974	3a0107s02c: phosphate ABC transporter, permease protein PstA	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	TIGR00975	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	COG1117	ABC-type phosphate transport system, ATPase component	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	COG0226	ABC-type phosphate transport system, periplasmic component	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	TIGR02136	phosphate binding protein	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	COG0573	ABC-type phosphate transport system, permease component	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	COG0581	ABC-type phosphate transport system, permease component	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	COG4590	ABC-type uncharacterized transport system, permease component	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	PF12501	Phosphate ATP-binding cassette transporter	Blueprint Marker	
Phosphate	Phosphate		pstABCS	T85.5	TIGR02138	phosphate_pstC: phosphate ABC transporter, permease protein PstC	Blueprint Marker	
Phosphate	Phosphate		phoU	T85.9	COG1392	Phosphate transport regulator (distant homolog of PhoU)	Blueprint Marker	
Phosphate	Phosphate		phoU	T85.9	COG0704	Phosphate uptake regulator	Blueprint Marker	
Phosphate	Phosphate		phoU	T85.9	TIGR02135	phoU_full: phosphate transport system regulatory protein PhoU	Blueprint Marker	
Phosphate	Phosphonate		phnABC	T85.6	TIGR02315	ABC_phnC: phosphonate ABC transporter, ATP-binding protein	Blueprint Marker	
Phosphate	Phosphonate		phnABC	T85.6	COG3639	ABC-type phosphate/phosphonate transport system, permease component	Blueprint Marker	
Phosphate	Phosphonate		phnABC	T85.6	COG4107	ABC-type phosphonate transport system, ATPase component	Blueprint Marker	
Phosphate	Phosphonate		phnABC	T85.6	COG4778	ABC-type phosphonate transport system, ATPase component	Blueprint Marker	
Phosphate	Phosphonate		phnABC	T85.6	TIGR03431	PhnD: phosphonate ABC transporter, periplasmic phosphonate binding protein	Blueprint Marker	
Phosphate	Phosphonate		phnABC	T85.6	TIGR01097	PhnE: phosphonate ABC transporter, permease protein PhnE	Blueprint Marker	
Phosphate	Aminoethylphosphonate			T85.7	TIGR03227	PhnS: 2-aminoethylphosphonate ABC transporter, 2-aminoethylphosphonate binding protein		
Phosphate	Aminoethylphosphonate			T85.7	TIGR03258	PhnT: 2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT		
Phosphate	Aminoethylphosphonate			T85.7	TIGR03226	PhnU: 2-aminoethylphosphonate ABC transporter, permease protein		
Phosphate	Aminoethylphosphonate			T85.7	TIGR03255	PhnV: 2-aminoethylphosphonate ABC transport system, membrane component PhnV		
Phosphate	Aminoethylphosphonate			T85.8	TIGR03261	phnS2: putative 2-aminoethylphosphonate ABC transporter, periplasmic 2-aminoethylphosphonate-binding protein		
Phosphate	Aminoethylphosphonate			T85.8	TIGR03265	PhnT2: putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein		
Phosphate	Aminoethylphosphonate			T85.8	TIGR03262	PhnU2: putative 2-aminoethylphosphonate ABC transporter, permease protein		
Carbohydrates	Aminoglycoside			T29.1	COG3231	Aminoglycoside phosphotransferase		
Carbohydrates	Aminoglycoside			T29.2	PF01636	Phosphotransferase enzyme family		
Carbohydrates	Aminoglycoside			T29.3	COG3173	Predicted aminoglycoside phosphotransferase		
Carbohydrates	Aminoglycoside			T29.2	COG3178	Predicted phosphotransferase related to Ser/Thr protein kinases		
Polyamines	Ornithine			T192.2	TIGR03810	arg_ornith_anti: arginine-ornithine antiporter		
Polyamines	Putrescine			T192.1	TIGR04299	antiport_PotE: putrescine-ornithine antiporter		
Polyamines	Polyamines			T20.35	TIGR01187	potA: polyamine ABC transporter, ATP-binding protein		
Polyamines	Polyamines			T20.35	COG1176	ABC-type spermidine/putrescine transport system, permease component I		
Polyamines	Polyamines			T20.35	COG1177	ABC-type spermidine/putrescine transport system, permease component II		
Polyamines	Polyamines			T20.35	COG3842	ABC-type spermidine/putrescine transport systems, ATPase components		
Polymers	Polymers			T167	COG0823	Periplasmic component of the Tol biopolymer transport system		
Polymers	Polymers			T186	COG4946	Uncharacterized protein related to the periplasmic component of the Tol biopolymer transport system		
Polymers	Teichoic acids			T87.6	COG1682	ABC-type polysaccharide/polyol phosphate export systems, permease component		
Polymers	Teichoic acids			T87.6	COG1134	ABC-type polysaccharide/polyol phosphate transport system, ATPase component		
Polymers	TonB|Biopolymer			T34	COG0848	Biopolymer transport protein		
Polymers	TonB|Biopolymer			T34	PF02472	Biopolymer transport protein ExbD/TolR		
Polymers	TonB|Biopolymer			T34	COG0811	Biopolymer transport proteins		
Polymers	TonB|Biopolymer			T34	TIGR02797	exbB: tonB-system energizer ExbB		
Polymers	TonB|Biopolymer			T34	TIGR02805	exbB2: tonB-system energizer ExbB		
Polymers	TonB|Biopolymer			T34	TIGR02803	ExbD_1: TonB system transport protein ExbD		
Polymers	TonB|Biopolymer			T34	TIGR02804	ExbD_2: TonB system transport protein ExbD		
Secretion systems	Dot/Icm			T69	TIGR02524	dot_icm_DotB: Dot/Icm secretion system ATPase DotB		
Secretion systems	Dot/Icm			T69	TIGR02527	dot_icm_IcmQ: Dot/Icm secretion system protein IcmQ		
Secretion systems	Dot/Icm			T69	PF09475	Dot/Icm secretion system protein (dot_icm_IcmQ)		
Secretion systems	T1SS		T1SS	T66.1	TIGR03661	T1SS_VCA0849: type I secretion C-terminal target domain (VC_A0849 subclass)		
Secretion systems	T1SS		T1SS	T66.1	TIGR01846	type_I_sec_HlyB: type I secretion system ATPase		
Secretion systems	T1SS		T1SS	T66.1	TIGR03375	type_I_sec_LssB: type I secretion system ATPase		
Secretion systems	T1SS		T1SS	T66.1	TIGR01843	type_I_hlyD: type I secretion membrane fusion protein, HlyD family		
Secretion systems	T2SS		T2SS	T66.10	PF05157	Type II secretion system (T2SS), protein E, N-terminal domain	1	
Secretion systems	T2SS		T2SS	T66.10	COG0630	Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis	1	
Secretion systems	T2SS		T2SS	T66.11	PF03958	Bacterial type II/III secretion system short domain	10	
Secretion systems	T2SS		T2SS	T66.11	TIGR01708	typeII_sec_gspH: type II secretion system protein H	10	
Secretion systems	T2SS		T2SS	T66.12	PF08334	Type II secretion system (T2SS), protein G	11	
Secretion systems	T2SS		T2SS	T66.12	COG2165	Type II secretory pathway, pseudopilin PulG	11	
Secretion systems	T2SS		T2SS	T66.12	TIGR01710	typeII_sec_gspG: type II secretion system protein G	11	
Secretion systems	T2SS		T2SS	T66.13	PF03934	Type II secretion system (T2SS), protein K	12	
Secretion systems	T2SS		T2SS	T66.13	COG3156	Type II secretory pathway, component PulK	12	
Secretion systems	T2SS		T2SS	T66.14	COG1450	Type II secretory pathway, component PulD	13	
Secretion systems	T2SS		T2SS	T66.14	TIGR02517	type_II_gspD: type II secretion system protein D	13	
Secretion systems	T2SS		T2SS	T66.15	TIGR01707	gspI: type II secretion system protein I	14	
Secretion systems	T2SS		T2SS	T66.15	PF02501	Type II secretion system (T2SS), protein I	14	
Secretion systems	T2SS		T2SS	T66.16	TIGR02533	type_II_gspE: type II secretion system protein E	15	
Secretion systems	T2SS		T2SS	T66.17	COG1523	Type II secretory pathway, pullulanase PulA and related glycosidases	16	
Secretion systems	T2SS		T2SS	T66.18	COG3031	Type II secretory pathway, component PulC	2	
Secretion systems	T2SS		T2SS	T66.18	TIGR01713	typeII_sec_gspC: type II secretion system protein C	2	
Secretion systems	T2SS		T2SS	T66.19	TIGR03819	heli_sec_ATPase: helicase/secretion neighborhood ATPase	3	
Secretion systems	T2SS		T2SS	T66.19	PF01203	Type II secretion system (T2SS), protein N	3	
Secretion systems	T2SS		T2SS	T66.20	TIGR03015	pepcterm_ATPase: putative secretion ATPase, PEP-CTERM locus subfamily	4	
Secretion systems	T2SS		T2SS	T66.20	COG3267	Type II secretory pathway, component ExeA (predicted ATPase)	4	
Secretion systems	T2SS		T2SS	T66.21	PF01514	Secretory protein of YscJ/FliF family	5	
Secretion systems	T2SS		T2SS	T66.21	PF12019	Type II transport protein GspH	5	
Secretion systems	T2SS		T2SS	T66.22	TIGR01711	gspJ: type II secretion system protein J	6	
Secretion systems	T2SS		T2SS	T66.22	PF11612	Type II secretion system (T2SS), protein J	6	
Secretion systems	T2SS		T2SS	T66.22	PF05134	Type II secretion system (T2SS), protein L	6	
Secretion systems	T2SS		T2SS	T66.22	COG4795	Type II secretory pathway, component PulJ	6	
Secretion systems	T2SS		T2SS	T66.22	COG3297	Type II secretory pathway, component PulL	6	
Secretion systems	T2SS		T2SS	T66.22	TIGR01709	typeII_sec_gspL: type II secretion system protein L	6	
Secretion systems	T2SS		T2SS	T66.23	PF04612	Type II secretion system (T2SS), protein M	7	
Secretion systems	T2SS		T2SS	T66.23	COG3149	Type II secretory pathway, component PulM	7	
Secretion systems	T2SS		T2SS	T66.24	PF00263	Bacterial type II and III secretion system protein	9	
Secretion systems	T2SS		T2SS	T66.24	TIGR02120	GspF: type II secretion system protein F	9	
Secretion systems	T2SS		T2SS	T66.24	PF00482	Type II secretion system (T2SS), protein F	9	
Secretion systems	T2SS		T2SS	T66.24	COG2804	Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, A	9	
Secretion systems	T2SS		T2SS	T66.24	COG4796	Type II secretory pathway, component HofQ	9	
Secretion systems	T2SS		T2SS	T66.24	COG1459	Type II secretory pathway, component PulF	9	
Secretion systems	T2SS		T2SS	T66.24	COG1989	Type II secretory pathway, prepilin signal peptidase PulO and related peptidases	9	
Secretion systems	T2SS		T2SS	T66.24	PF00437	Type II/IV secretion system protein	9	
Secretion systems	T2SS		T2SS	T66.2	PF11130	F pilus assembly Type-IV secretion system for plasmid transfer		
Secretion systems	T2SS		T2SS	T66.2	TIGR04410	Spiro_T2SS_lipo: type II secretion system-associated lipoprotein		
Secretion systems	T2SS		T2SS	T66.2	TIGR04412	T2SS_GspM_XcpZ: type II secretion system protein M		
Secretion systems	T2SS		T2SS	T66.2	TIGR04411	T2SS_GspN_Lepto: type II secretion system protein N		
Secretion systems	T2SS		T2SS	T66.2	PF10741	Type II secretion system (T2SS), protein M subtype b		
Secretion systems	T2SS		T2SS	T66.2	PF11773	Type II secretory pathway pseudopilin		
Secretion systems	T3SS		T3SS	T66.3	PF07824	Type III secretion chaperone domain		
Secretion systems	T3SS		T3SS	T66.3	PF09392	Type III secretion needle MxiH like		
Secretion systems	T3SS		T3SS	T66.3	PF09483	Type III secretion protein (HpaP)		
Secretion systems	T3SS		T3SS	T66.3	PF07321	Type III secretion protein YscO		
Secretion systems	T3SS		T3SS	T66.3	PF11439	Type III secretion system filament chaperone CesA		
Secretion systems	T3SS		T3SS	T66.3	PF12468	Type III secretion system leucine rich repeat protein		
Secretion systems	T3SS		T3SS	T66.3	PF09619	Type III secretion system lipoprotein chaperone (YscW)		
Secretion systems	T3SS		T3SS	T66.3	PF09480	Type III secretion system protein PrgH-EprH (PrgH)		
Secretion systems	T3SS		T3SS	T66.3	PF09621	Type III secretion system regulator (LcrR)		
Secretion systems	T3SS		T3SS	T66.3	PF13327	Type III secretion system subunit		
Secretion systems	T3SS		T3SS	T66.3	PF09474	Type III secretion system YscX (type_III_YscX)		
Secretion systems	T3SS		T3SS	T66.3	COG4790	Type III secretory pathway, component EscR		
Secretion systems	T3SS		T3SS	T66.3	COG4794	Type III secretory pathway, component EscS		
Secretion systems	T3SS		T3SS	T66.3	COG4791	Type III secretory pathway, component EscT		
Secretion systems	T3SS		T3SS	T66.3	COG4792	Type III secretory pathway, component EscU		
Secretion systems	T3SS		T3SS	T66.3	COG4789	Type III secretory pathway, component EscV		
Secretion systems	T3SS		T3SS	T66.3	COG4669	Type III secretory pathway, lipoprotein EscJ		
Secretion systems	T3SS		T3SS	T66.3	TIGR02498	type_III_ssaH: type III secretion system protein, SsaH family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02503	type_III_SycN: type III secretion chaperone SycN		
Secretion systems	T3SS		T3SS	T66.3	TIGR02511	type_III_tyeA: type III secretion effector delivery regulator, TyeA family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02509	type_III_yopR: type III secretion effector, YopR family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02513	type_III_yscB: type III secretion system chaperone, YscB family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02516	type_III_yscC: type III secretion outer membrane pore, YscC/HrcC family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02500	type_III_yscD: type III secretion apparatus protein, YscD/HrpQ family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02501	type_III_yscE: type III secretion system protein, YseE family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02508	type_III_yscG: type III secretion protein, YscG family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02514	type_III_yscP: type III secretion system needle length determinant		
Secretion systems	T3SS		T3SS	T66.3	TIGR02502	type_III_YscX: type III secretion protein, YscX family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02497	yscI_hrpB_dom: type III secretion apparatus protein, YscI/HrpB, C-terminal domain		
Secretion systems	T3SS		T3SS	T66.3	TIGR01102	yscR: type III secretion apparatus protein, YscR/HrcR family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02567	YscW: type III secretion system chaperone YscW		
Secretion systems	T3SS		T3SS	T66.3	TIGR02551	SpaO_YscQ: type III secretion apparatus protein, YscQ/HrcQ family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02497	yscI_hrpB_dom: type III secretion apparatus protein, YscI/HrpB, C-terminal domain		
Secretion systems	T3SS		T3SS	T66.3	TIGR02567	YscW: type III secretion system chaperone YscW		
Secretion systems	T3SS		T3SS	T66.3	TIGR02554	PrgH: type III secretion apparatus protein PrgH/EprH		
Secretion systems	T3SS		T3SS	T66.3	TIGR02555	OrgA_MxiK: type III secretion apparatus protein OrgA/MxiK		
Secretion systems	T3SS		T3SS	T66.3	TIGR02568	LcrE: type III secretion regulator YopN/LcrE/InvE/MxiC		
Secretion systems	T3SS		T3SS	T66.3	TIGR02573	LcrG_PcrG: type III secretion protein LcrG		
Secretion systems	T3SS		T3SS	T66.3	TIGR02572	LcrR: type III secretion system regulator LcrR		
Secretion systems	T3SS		T3SS	T66.3	PF04518	Effector from type III secretion system		
Secretion systems	T3SS		T3SS	T66.3	TIGR02101	IpaC_SipC: type III secretion target, IpaC/SipC family		
Secretion systems	T3SS		T3SS	T66.3	PF05364	Salmonella type III secretion SopE effector N-terminus		
Secretion systems	T3SS		T3SS	T66.3	PF09477	Bacterial type II secretion system chaperone protein (type_III_yscG)		
Secretion systems	T3SS		T3SS	T66.3	PF09482	Bacterial type III secretion apparatus protein (OrgA_MxiK)		
Secretion systems	T3SS		T3SS	T66.3	PF09613	Bacterial type III secretion protein (HrpB1_HrpK)		
Secretion systems	T3SS		T3SS	T66.3	PF09487	Bacterial type III secretion protein (HrpB2)		
Secretion systems	T3SS		T3SS	T66.3	PF09502	Bacterial type III secretion protein (HrpB4)		
Secretion systems	T3SS		T3SS	T66.3	PF09486	Bacterial type III secretion protein (HrpB7)		
Secretion systems	T3SS		T3SS	T66.3	TIGR01403	fliQ_rel_III: type III secretion protein, HrpO family		
Secretion systems	T3SS		T3SS	T66.3	TIGR01401	fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT		
Secretion systems	T3SS		T3SS	T66.3	TIGR01404	FlhB_rel_III: type III secretion protein, YscU/HrpY family		
Secretion systems	T3SS		T3SS	T66.3	TIGR03497	FliI_clade2: flagellar protein export ATPase FliI		
Secretion systems	T3SS		T3SS	T66.3	TIGR03498	FliI_clade3: flagellar protein export ATPase FliI		
Secretion systems	T3SS		T3SS	T66.3	TIGR02557	HpaP: type III secretion protein HpaP		
Secretion systems	T3SS		T3SS	T66.3	TIGR01399	hrcV: type III secretion protein, HrcV family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02561	HrpB1_HrpK: type III secretion protein HrpB1/HrpK		
Secretion systems	T3SS		T3SS	T66.3	TIGR02558	HrpB2: type III secretion protein HrpB2		
Secretion systems	T3SS		T3SS	T66.3	TIGR02560	HrpB4: type III secretion protein HrpB4		
Secretion systems	T3SS		T3SS	T66.3	TIGR02559	HrpB7: type III secretion protein HrpB7		
Secretion systems	T3SS		T3SS	T66.3	TIGR02499	HrpE_YscL_not: type III secretion apparatus protein, HrpE/YscL family		
Secretion systems	T3SS		T3SS	T66.3	TIGR02105	III_needle: type III secretion apparatus needle protein		
Secretion systems	T3SS		T3SS	T66.3	TIGR02546	III_secr_ATP: type III secretion apparatus H+-transporting two-sector ATPase		
Secretion systems	T3SS		T3SS	T66.3	TIGR02544	III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family		
Secretion systems	T3SS		T3SS	T66.3	COG1157	Flagellar biosynthesis/type III secretory pathway ATPase		
Secretion systems	T3SS		T3SS	T66.3	COG3418	Flagellar biosynthesis/type III secretory pathway chaperone		
Secretion systems	T3SS		T3SS	T66.3	COG1766	Flagellar biosynthesis/type III secretory pathway lipoprotein		
Secretion systems	T3SS		T3SS	T66.3	COG1317	Flagellar biosynthesis/type III secretory pathway protein		
Secretion systems	T3SS		T3SS	T66.3	COG1886	Flagellar motor switch/type III secretory pathway protein		
Secretion systems	T3SS		T3SS	T66.3	TIGR03496	FliI_clade1: flagellar protein export ATPase FliI		
Secretion systems	T3SS		T3SS	T66.3	TIGR02552	LcrH_SycD: type III secretion low calcium response chaperone LcrH/SycD		
Secretion systems	T4SS		T4SS	T66.4	PF07996	Type IV secretion system proteins		
Secretion systems	T4SS		T4SS	T66.4	PF10412	Type IV secretion-system coupling protein DNA-binding domain		
Secretion systems	T4SS		T4SS	T66.4	COG3736	Type IV secretory pathway, component VirB8		
Secretion systems	T4SS		T4SS	T66.4	COG5268	Type IV secretory pathway, TrbD component		
Secretion systems	T4SS		T4SS	T66.4	COG3701	Type IV secretory pathway, TrbF components		
Secretion systems	T4SS		T4SS	T66.4	COG3846	Type IV secretory pathway, TrbL components		
Secretion systems	T4SS		T4SS	T66.4	COG2948	Type IV secretory pathway, VirB10 components		
Secretion systems	T4SS		T4SS	T66.4	COG3838	Type IV secretory pathway, VirB2 components (pilins)		
Secretion systems	T4SS		T4SS	T66.4	COG3702	Type IV secretory pathway, VirB3 components		
